attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.3,2,Suburban,0,Horizontal,Static Phase 1+2,4892,27028,1615,12065,0.371864035087719,0.308623027140409,0.881944444444444,0.457241392378679,0.846741854636591,0.118055555555556
random,0.3,2,Suburban,0,Horizontal,SAC Dynamic Phase 1,23681,8239,5519,8161,0.698289473684211,0.497621951219512,0.59656432748538,0.542619680851064,0.258114035087719,0.40343567251462
random,0.3,2,Suburban,0,Horizontal,SAC Dynamic Phase 1+2,4020,27900,3314,10366,0.315482456140351,0.270893221136257,0.757748538011696,0.399106764717206,0.87406015037594,0.242251461988304
random,0.3,2,Suburban,1,Random-Matrix,Static Phase 1,17987,13933,1753,11927,0.656008771929825,0.461214230471771,0.871856725146199,0.603287809812848,0.436497493734336,0.128143274853801
random,0.3,2,Suburban,1,Random-Matrix,Static Phase 1+2,5383,26537,799,12881,0.400526315789474,0.326779643817545,0.941593567251462,0.485178349467023,0.831359649122807,0.058406432748538
random,0.3,2,Suburban,1,Random-Matrix,SAC Dynamic Phase 1,16446,15474,1525,12155,0.627214912280702,0.439936298816461,0.888523391812866,0.588491611997386,0.484774436090226,0.111476608187135
random,0.3,2,Suburban,1,Random-Matrix,SAC Dynamic Phase 1+2,5364,26556,739,12941,0.401425438596491,0.327645137605388,0.945979532163743,0.486714180942889,0.831954887218045,0.0540204678362573
random,0.3,2,Suburban,2,Circular,Static Phase 1,17938,13982,2169,11511,0.645811403508772,0.451535715686659,0.841447368421053,0.587700712225257,0.438032581453634,0.158552631578947
random,0.3,2,Suburban,2,Circular,Static Phase 1+2,6070,25850,272,13408,0.427149122807018,0.341535483213612,0.980116959064327,0.506554837734709,0.80983709273183,0.0198830409356725
random,0.3,2,Suburban,2,Circular,SAC Dynamic Phase 1,26304,5616,5795,7885,0.749758771929825,0.584030812532405,0.576388888888889,0.580184687833413,0.17593984962406,0.423611111111111
random,0.3,2,Suburban,2,Circular,SAC Dynamic Phase 1+2,17220,14700,794,12886,0.660219298245614,0.467121003407526,0.941959064327485,0.624533514273252,0.460526315789474,0.0580409356725146
